Timestamp,What Minerva rotation cities have you lived in?,What Minerva residence halls have you lived in?,Lived in Seoul?,Lived in 16 Turk?,Lived in 16 Turk AND 1412,What is your gender identity?,What is your racial/ethnic identity? Check as many boxes as apply.,"Of the Minerva residence halls you have lived in, which do you believe was the MOST SAFE? If you have only lived in one residence hall, select it here if you mostly felt safe while you were there. Otherwise, select ""NA"".",Please explain why you selected this residence hall as the most safe.,"Of the Minerva residence halls you have lived in, which do you believe was the LEAST SAFE? If you have only lived in one residence hall, select it here if you mostly did not feel safe while you were there. Otherwise, select ""NA"".",Please explain why you selected this residence hall as the least safe.,Have you ever been the victim of a crime near a Minerva residence hall? ,Crime_binary,"If you answered yes to the above question, what residence hall did the crime occur near? Select ""NA"" if you answered no to the above question.",Incident_near_turk,crime_yes_near_turk,"If you answered yes to the above question, please describe what happened in as much detail as you are comfortable with, including a description of the location or an approximate address. ",Type of crime,Is there anything else you want the Minerva community to know about safety around residence halls?,"Would you be interested in speaking to a Quest reporter (Emma or Jasen) about this subject? If you would like to speak to a specific person, please specify in the ""other"" section. As always, you may choose to be interviewed anonymously.","Do you consent to having your anonymized (if you provide your name and contact information above, it will be removed) survey response included in a public, open-access repository of data about Minerva and Minerva students? "
2/17/2021 22:00:24,"San Francisco, Seoul, Hyderabad",Hyderabad: At Home Apartments,0,0,0,Female,White,Seoul: Yongsan residence,This was the residence where I never felt any concern while living in the building or in the nearby surrounding area,San Francisco: 16 Turk Street,"I dealt with shit at this res hall. I saw the front desk robbed, stepped out of the building & into a police crime scene or actively unfolding situation (on multiple occasions), was followed to the door (on mutliple occasions), regularly saw drug deals from windows on any side of the building, & was grabbed on the corner of Turk street & Market. To name a few of the instances.",Yes,1,San Francisco: 16 Turk Street,1,2,"Three instances from Turk street & all last semester
1) I was grabbed on the corner of Mason, Turk Street, & Market Street (not the corner by Diya but across the way towards Abe's pizza) by someone regularly spending time on this corner. The incident occurred during the afternoon. I was in a group of four (including one male) & there were a number of other people nearby on the street. I saw the guy size me up as I crossed the street & was prepared to defend myself when he reached for me. I knew that I needed to come off as ""not an easy target"" immediately or possibly face continued or even escalating issues over the course of the semester. I did not report to the police but have continued to feel uneasiness whenever passing this corner, espeically because I have regularly seen this person again. Retroactively, I wonder how much worse & more dangerous my semester could have been if I hadn't been paying attention & was --even for a moment-- successfully surprised or grabbed that day.
2) I was threatened at knife point to my temple in the Financial District's embarcadero centers (granted this happened further from the residence but the feeling of being unsafe from this incicent farther from the res was perpetuated by the dynamics close to the res). I was asked for a lighter, which I did not have. I talked the individual into calming down & they continued on their way. I did not file a polic report. This ocurred in the afternoon when I was alone. Again, I consider myself incredibly fortunate & know the situation could have gone much worse.
3) I was followed to the door of the Turk street residence by the same man on multiple occasions. He managed to follow me despite all of my efforts to lose him in different turns, stopping at stores, and taking alternative routes to the building (while still being constrained by the streets I felt safe walking down). If this had ocurred a third time (or if it ocurrs again this semester) I am inclined to file a report of some sort out of concerns of being stalked or otherwise targetted for an unknown reason.

One instance from 1412 in spring of 2019
I was studying at Peet's coffee (the one on the corner of Mission closest to the 1412 residence). Another patron initially began a semi-friendly, semi-weird conversation but after his subtle attempts being rejected, he began to verbally assult me. I had suspicians that this man had been stalking me but did not have evidence to prove such (having seen him at 3 different cafes or places in the city that week & him trying to have this same conversation with me repeatedly). He began threatening me & yelling derogatory slurs at me (including calling me a genetic mutation & responsible for all the mistakes of my caucasian ancesters, asking how I could live with myself & why I hadn't killed myself). He did not leave me alone after my repeated polite attempts to ask him to do so. Other patrons started to yell at him. The situation escalated. The man made some attempts to physically come towards me. The police were called. The man was escorted out of the building by the employees and a number of other patrons. 

None of these incidences were ever reported to Minerva building staff because I did not see what use they could be & found such to be a waste of time & effort & emotional expenditure on my part.
","Assault, Harassment",,Yes,Yes
2/16/2021 13:17:10,"San Francisco, London","San Francisco: 16 Turk Street, London Baker's Row apartments",0,1,0,Nonbinary,White,Other residence hall,"Baker's row apartments: mostly quiet at night, no crime that I was aware of, not too isolated, not too busy.",San Francisco: 16 Turk Street,"Homeless people nearby, high crime rate, cat calling. I didn't really feel comfortable walking around alone (or near/after dark) around the area.",Yes,1,San Francisco: 16 Turk Street,1,2,"Near Powell Street station (above ground) a homeless woman approached me and asked for money. I gave her $2 but she asked for more. I started to walk away and she started leaning on me. I pulled away but realized she took my phone from my (previously zipped) pocket. I pled with her to give it back but she denied she had it. Looking back now I should have asked a passerby to call the police but I was too shook up. She also threatened to pepper spray me if I didn't leave her alone. She left, muttering something about seeing another person take my phone and her going to go get it. I then went back to the residence and Jason helped me file a police report. Nothing ever came of it. It caused me significant emotional distress and a lot of self blame.",Theft,,Yes,Yes
2/16/2021 17:09:27,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Female,White,Seoul: Yongsan residence,There were not homeless people spitting in my face. I apologize if this sounds intolerant (this is [REDACTED] and I am angry about SF haha),San Francisco: 16 Turk Street,I have been assaulted several times within a 1 block radius of the res ,Yes,1,San Francisco: 16 Turk Street,1,2,Corner of Turk and Mason: grabbed and pulled by the arm by a man. Powell street: man jerked off as he ran at me screaming. Market street - 2 blocks from Turk: a man grabbed me and spat in my face,"Harassment, Assault, Sex Offences",Minerva does not care,Yes,Yes
2/16/2021 13:30:21,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Female,White,Berlin: Adalbertstrasse and Meliorstrasse apartments,"I was never afraid to go out alone, I was never harassed around it",San Francisco: 16 Turk Street,"I was never able to go out alone, going out every time gave me intense anxiety, I was harassed and catcalled, there were people dealing drugs across the street in a group that I had to pass every time I went out, I could hear people screaming and having mental breakdowns day and night, I could hear gunshots.",Yes,1,San Francisco: 16 Turk Street,1,2,,,,No,Yes
2/16/2021 15:20:06,"San Francisco, Seoul, London","San Francisco: 16 Turk Street, Seoul: Yongsan residence, London: Bakers Row",1,1,0,Female,White,Seoul: Yongsan residence,Security to get into the building. Nice neighborhood. ,San Francisco: 16 Turk Street,Neighborhood ,Yes,1,San Francisco: 16 Turk Street,1,2,"Standard 16 Turk stuff — chased by people on the street, threatened verbally, and witnessed people pointing guns at each other.",Harassment,,No,Yes
2/16/2021 22:34:53,San Francisco,San Francisco: 16 Turk Street,0,1,0,Male,White,NA,,San Francisco: 16 Turk Street,,Yes,1,San Francisco: 16 Turk Street,1,2,I was sexually assaulted (raped). Turk & Taylor at 3:30 am,Rape,,No,Yes
2/18/2021 16:51:34,"San Francisco, Seoul","San Francisco: 16 Turk Street, Seoul: Yongsan residence",1,1,0,Female,White,Seoul: Yongsan residence,I can walk out alone during the night without feeling threatened at all,San Francisco: 16 Turk Street,"I felt unsafe daily: leaving the res hall I multiple times saw people urinating on our building, once I saw a gun being fired, got catcalled multiple times daily close to the res hall, experienced people following me, was threatened by people. All of this within one or two blocks of the apartment, which made it tough to leave or come to the res alone. ",Yes,1,San Francisco: 16 Turk Street,1,2,Sexual harassment ,Sexual Harassment,,No,Yes
2/16/2021 16:19:35,"San Francisco, Seoul","San Francisco, Seoul",1,0,0,Male,"White, Middle Eastern or North African",Seoul: Yongsan residence,San Francisco was not safe,San Francisco: 16 Turk Street,,Yes,1,San Francisco: 16 Turk Street,1,2,"I was assualted 3 times near the SF res hall and had a bike stolen.
The first time, a guy with a baseball bat called ""hey faggot"" (I am not gay, nor do I believe I ""look gay"") to me, them chased me. I ran for a block before I managed to draw my pepper spray. I turned towards him and he threw the bat at me and ran away. I only got a light bruise. The time was around 3pm and the location was right by Capital One Café 
The second time, I was walking back from the opera with two friends when a homeless guy begged us for money. When we said no, he followed us and started saying some shit about how there's nobody here. We just ignored him. Suddenly he grabs my jacket, saying ""5 dollars for his jacket and backpack"". I sprayed him and we ran away. This was around 100m west of res
The third time my female friend was walking with me and bumped into a guy in the street. He slapped me in the face. This was wight by Abe's Pizza
The bike stealing was of a lyft bike that I parked incorrectly in the station right by res. By the time I realized my error, some 5 minutes after I parked my bike, it was already gone. The app was still tracking the location of the bike, so I took some friends and confronted the thief. Luckily, he agreed to return the bike. ","Assault, Theft","I also saw [REDACTED], on guard duty, being threatened with a gun. Please reach out to him. I find it scandalous that Minerva let students guard res. ",Yes,Yes
2/16/2021 13:26:17,San Francisco,San Francisco: 16 Turk Street,0,1,0,Male,Southeast Asian,Seoul: Yongsan residence,"Residence around, all stores open with CCTV. ",San Francisco: 16 Turk Street,,Yes,1,Buenos Aires: Le Petit Suites hotel apartments,0,1,,,,Yes,Yes
2/18/2021 15:43:58,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London, Taipei","San Francisco: 1412 Market Street, Seoul: Gangnam hotel residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments, Taipei residence",1,0,0,Nonbinary,White,Seoul: Gangnam hotel residence,"This was the cleanest residence hall upon move in, in probably the safest city, where I don’t even think I got groped one time by a local. It was a hotel so it had its own security and would actually get pissed at us for stuff having to do with safety. ",Buenos Aires: Le Petit Suites hotel apartments,"I had 300 roommates (one Minervan and 299 cockroaches). We would get extermination in without notice and they would spray everything with chemicals. Also had a few suicide risks that were not properly addressed, leading to more risks for students.",Yes,1,Seoul: Gangnam hotel residence,0,1,I was sexually assaulted by a community member inside my own room at the residence hall. ,Sexual Assault,,Yes,Yes
2/16/2021 13:12:00,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,0,0,Female,White,Seoul: Yongsan residence,"I was debating between this one and Berlin, but in the end - I believe the Seoul Residence Hall was extremely safe. I never felt scared walking home in the middle of the night. ",San Francisco: 851 California Street,"San Francisco is not a safe city for Students. It does not matter that I lived on Nob Hill, my walking commutes to the Minerva HQ were dangerous, humiliating, and intimidating. I very often got cat-called, and I also got attacked and followed. For example, a women threw a lot of books and razor blades at my head. ",Yes,1,Buenos Aires: Le Petit Suites hotel apartments,0,1,My phone got stolen in the Metro - I filed a report with the local Buenos Aires police. ,Theft,San Francisco is the most dangerous Rotation City for students. ,No,Yes
2/16/2021 13:23:26,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 1412 Market Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,0,0,Female,White,Seoul: Yongsan residence,"The neighborhood was fantastic all times of day, clean, and no aggressive neighbors or harassment.",San Francisco: 1412 Market Street,"Aggressive behavior, shootings, drug use, theft, all rampant right in front of our door. Only positive is 24/7 front door staff which is a huge problem at 851 California",Yes,1,San Francisco: 1412 Market Street,0,1,Sexual harassment,,Please have front door staff at 851 at least from 7am-11pm or something like that.,No,Yes
2/17/2021 7:28:03,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London","San Francisco: 851 California Street, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments",0,0,0,Female,White,Hyderabad: At Home Apartments,I just know we never locked our doors or worried about anything safety-related.,San Francisco: 851 California Street,I had things stolen from inside the residence hall and the fact that we lived with other communities with little trust between them made it feel uncomfortable at times.,Yes,1,San Francisco: 851 California Street,0,1,"This wasn't a threat to my personal safety, but I had things like bikes stolen from inside the residence hall that were worth enough to report to the police. ",Theft,,No,Yes
2/19/2021 2:21:20,"San Francisco, Seoul, Hyderabad","San Francisco: 1412 Market Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments",1,0,0,Female,East Asian,Seoul: Yongsan residence,,San Francisco: 1412 Market Street,"tenderloin, market street has lots of homeless people who were on drugs",Yes,1,San Francisco: 1412 Market Street,0,1,,,,No,Yes
