Nationality,F-1 Validity Period,USA,USA Reapply,USA Reciprocity Fee,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Emojis
Ireland,60,510,0,1505,0,60,91.53,0,177.64,124.11,50,2518.28,🇮🇪
United Arab Emirates,48,510,0,1125,0,60,91.53,88.86,177.64,124.11,50,2227.14,🇦🇪
Liechtenstein,60,510,0,900,0,60,91.53,0,177.64,124.11,50,1913.28,🇱🇮
Lebanon,60,510,0,708,0,60,91.53,88.86,177.64,124.11,50,1810.14,🇱🇧
Benin,36,510,160,681,681,60,91.53,88.86,177.64,124.11,50,2624.14,🇧🇯
Norway,60,510,0,434,0,60,91.53,0,177.64,124.11,50,1447.28,🇳🇴
Switzerland,60,510,0,375,0,60,91.53,0,177.64,124.11,50,1388.28,🇨🇭
Turkmenistan,12,510,160,355,355,60,91.53,88.86,177.64,124.11,50,1972.14,🇹🇲
Finland,48,510,0,340,0,60,91.53,0,177.64,124.11,50,1353.28,🇫🇮
Argentina,60,510,0,315,0,60,91.53,88.86,0,124.11,50,1239.5,🇦🇷
Comoros,12,510,160,307,307,60,91.53,88.86,177.64,124.11,50,1876.14,🇰🇲
Australia,60,510,0,305,0,120,91.53,88.86,177.64,124.11,50,1467.14,🇦🇺
Mauritania,60,510,0,305,0,60,91.53,88.86,177.64,124.11,50,1407.14,🇲🇷
Belgium,60,510,0,295,0,60,91.53,0,177.64,124.11,50,1308.28,🇧🇪
Tanzania,12,510,160,290,290,60,91.53,88.86,177.64,124.11,50,1842.14,🇹🇿
Croatia,60,510,0,285,0,60,91.53,0,177.64,124.11,50,1298.28,🇭🇷
Togo,36,510,160,255,255,60,91.53,88.86,177.64,124.11,50,1772.14,🇹🇬
Sweden,48,510,0,240,0,60,91.53,0,177.64,124.11,50,1253.28,🇸🇪
Paraguay,60,510,0,238,0,60,91.53,88.86,177.64,124.11,50,1340.14,🇵🇾
Indonesia,60,510,0,220,0,60,91.53,88.86,177.64,124.11,50,1322.14,🇮🇩
Maldives,60,510,0,220,0,60,4.284,88.86,177.64,124.11,50,1234.894,🇲🇻
Eswatini,60,510,0,200,0,60,91.53,88.86,177.64,124.11,50,1302.14,🇸🇿
Honduras,60,510,0,190,0,60,91.53,88.86,177.64,124.11,50,1292.14,🇭🇳
Djibouti,12,510,160,180,180,60,91.53,88.86,177.64,124.11,50,1622.14,🇩🇯
Cyprus,48,510,0,165,0,60,91.53,0,177.64,124.11,50,1178.28,🇨🇾
Iceland,60,510,0,163,0,60,91.53,0,177.64,124.11,50,1176.28,🇮🇸
Namibia,24,510,160,120,120,60,91.53,88.86,177.64,124.11,50,1502.14,🇳🇦
Nigeria,24,510,160,110,110,60,257.18,88.86,177.64,124.11,50,1647.79,🇳🇬
Jordan,60,510,0,106,0,60,91.53,88.86,177.64,124.11,50,1208.14,🇯🇴
Greece,60,510,0,105,0,60,91.53,0,177.64,124.11,50,1118.28,🇬🇷
Niger,12,510,160,95,95,60,91.53,88.86,177.64,124.11,50,1452.14,🇳🇪
Kenya,60,510,0,90,0,60,91.53,88.86,177.64,124.11,50,1192.14,🇰🇪
Panama,60,510,0,90,0,60,91.53,88.86,177.64,124.11,50,1192.14,🇵🇦
Costa Rica,60,510,0,68,0,60,91.53,88.86,177.64,124.11,50,1170.14,🇨🇷
Tuvalu,12,510,160,68,68,60,91.53,88.86,177.64,124.11,50,1398.14,🇹🇻
